departement;nb_adresses;cad_exist;exist_ban_nb;exist_ban_pct;cad_ajoute;cad_manquant;cad_fallback;pct_matched;nb_parcelles_src;nb_parts;source_cadastre;ban_version;cadastre_version;temps_sec;temps_load_sec;temps_process_sec;debut;conf_1.0_nb;conf_1.0_pct;conf_0.9_nb;conf_0.9_pct;conf_0.75_nb;conf_0.75_pct;conf_0.5_nb;conf_0.5_pct;conf_0.25_nb;conf_0.25_pct;conf_0.0_nb;conf_0.0_pct
21;213508;47632;47632;22.31;165433;443;95393;99.79;1004427;2;geojson→parquet;2026-03-24;2023-01-01;107.8;79.02;22.3;2026-03-24 11:27:03;70107;32.84;92495;43.32;2831;1.33;0;0.0;0;0.0;443;0.21
22;373572;271285;271285;72.62;101983;304;35264;99.92;1279819;2;geojson→parquet;2026-03-24;2023-01-01;154.27;123.38;19.11;2026-03-24 11:27:09;66905;17.91;32931;8.82;2147;0.57;0;0.0;0;0.0;304;0.08
23;94136;42535;42535;45.18;51538;63;22112;99.93;920908;1;geojson→parquet;2026-03-24;2023-01-01;104.75;86.8;7.12;2026-03-24 11:27:14;29450;31.28;21467;22.8;621;0.66;0;0.0;0;0.0;63;0.07
24;272521;225598;225598;82.78;46856;67;20552;99.98;1852992;2;geojson→parquet;2026-03-24;2023-01-01;197.98;145.47;38.19;2026-03-24 11:27:15;26332;9.66;19974;7.33;550;0.2;0;0.0;0;0.0;67;0.02
25;197846;64496;64496;32.6;133088;262;50212;99.87;753069;1;geojson→parquet;2026-03-24;2023-01-01;37.58;25.24;5.11;2026-03-24 11:38:53;82923;41.91;48559;24.54;1606;0.81;0;0.0;0;0.0;262;0.13
26;234576;143338;143338;61.11;91028;210;18166;99.91;956206;2;geojson→parquet;2026-03-24;2023-01-01;127.81;89.1;31.26;2026-03-24 11:28:21;72949;31.1;16965;7.23;1114;0.47;0;0.0;0;0.0;210;0.09
27;290031;93264;93264;32.16;196284;483;60353;99.83;724286;2;geojson→parquet;2026-03-24;2023-01-01;97.58;56.12;36.25;2026-03-24 11:28:52;136399;47.03;56503;19.48;3382;1.17;0;0.0;0;0.0;483;0.17
28;201983;61742;61742;30.57;139754;487;77920;99.76;582603;2;geojson→parquet;2026-03-24;2023-01-01;65.42;41.75;19.94;2026-03-24 11:28:58;61964;30.68;74564;36.92;3226;1.6;0;0.0;0;0.0;487;0.24
29;500474;354507;354507;70.83;145276;691;38573;99.86;1649174;3;geojson→parquet;2026-03-24;2023-01-01;222.84;183.6;26.65;2026-03-24 12:37:17;106749;21.33;37119;7.42;1408;0.28;0;0.0;0;0.0;691;0.14
30;339445;173356;173356;51.07;165683;406;48423;99.88;1203995;2;geojson→parquet;2026-03-24;2023-01-01;145.96;117.52;21.21;2026-03-24 11:29:29;117501;34.62;46594;13.73;1588;0.47;0;0.0;0;0.0;406;0.12
31;458228;323668;323668;70.63;134272;288;45630;99.94;1326933;3;geojson→parquet;2026-03-24;2023-01-01;156.25;121.61;26.81;2026-03-24 11:29:44;88690;19.35;43264;9.44;2318;0.51;0;0.0;0;0.0;288;0.06
