id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status
47016_0050_00080;47016_0050;80;;route de hartanes;47310;47016;Aubiac;;;505110.31;6338849.1;0.564561;44.121595;entrée;;;AUBIAC;ROUTE DE HARTANES;commune;commune;1;470160000D0016;c5a6fdb3-d6ed-46ef-91aa-1ed18c0464b5;11da0636-81a6-4e14-b15d-18b55529fc47;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0140_00013;47016_0140;13;;Chemin du Rechou;47310;47016;Aubiac;;;506324.89;6340596.92;0.57906;44.137655;entrée;;;AUBIAC;CHEMIN DU RECHOU;commune;commune;1;470160000B0023;c701446a-5780-4ad9-85d7-2577e7ca84b9;c1090576-e619-4560-9b12-a2d3a352b807;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0115_00007;47016_0115;7;;Route des Moulins;47310;47016;Aubiac;;;505254.69;6342068.41;0.565124;44.150597;entrée;;;AUBIAC;ROUTE DES MOULINS;commune;commune;1;470160000F0242;c8ad1137-8e74-43a1-813e-6711c7498d06;9d97b382-fd3f-4c12-a369-a6d764bd4c5f;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0115_00094;47016_0115;94;;Route des Moulins;47310;47016;Aubiac;;;506009.31;6340419.19;0.575186;44.135969;entrée;;;AUBIAC;ROUTE DES MOULINS;commune;commune;1;470160000G0516;c8ef3196-fcb2-4328-9e17-4db06aa8f35a;9d97b382-fd3f-4c12-a369-a6d764bd4c5f;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0160_00006;47016_0160;6;;Route de segougnac;47310;47016;Aubiac;;;507036.33;6340684.85;0.587914;44.138642;entrée;;;AUBIAC;ROUTE DE SEGOUGNAC;commune;commune;1;470160000B0970;c9182d60-1892-4aec-bce1-7741094f30a6;24c43b81-052f-4968-83ce-84201f6ad3b4;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0140_00006;47016_0140;6;;Chemin du Rechou;47310;47016;Aubiac;;;506368.94;6340469.74;0.579659;44.136523;entrée;;;AUBIAC;CHEMIN DU RECHOU;commune;commune;1;470160000B0726;c959954d-025a-408f-a4ae-f3f866c54220;c1090576-e619-4560-9b12-a2d3a352b807;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0115_00043;47016_0115;43;;Route des Moulins;47310;47016;Aubiac;;;505590.18;6341311.66;0.569607;44.143882;entrée;;;AUBIAC;ROUTE DES MOULINS;commune;commune;1;470160000A0339;c95ffd2e-cbd1-4cb9-b138-52dad9401d19;9d97b382-fd3f-4c12-a369-a6d764bd4c5f;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0070_00001_c;47016_0070;1;c;Chemin de Lauilleron;47310;47016;Aubiac;;;507579.74;6341432.01;0.594418;44.145513;entrée;;;AUBIAC;CHEMIN DE LAUILLERON;commune;commune;1;470160000B0940;c9c3a074-2d3f-499c-b12d-7190f5257509;490dbc28-dd8b-4229-8b27-bdd20f5b06d1;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0100_00015;47016_0100;15;;Chemin de Mondette;47310;47016;Aubiac;;;506032.52;6341065.19;0.575228;44.141787;entrée;;;AUBIAC;CHEMIN DE MONDETTE;commune;commune;1;470160000A0499;ca0d90f9-77a9-4126-bd6f-68b4d821c2cc;0cf22f0a-ead1-4d63-9c11-4a5800359048;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0140_00020;47016_0140;20;;Chemin du Rechou;47310;47016;Aubiac;;;506488.77;6340670.7;0.581079;44.138364;entrée;;;AUBIAC;CHEMIN DU RECHOU;commune;commune;1;470160000B0330;ca1014f6-a214-41af-86a2-d7ca453105a7;c1090576-e619-4560-9b12-a2d3a352b807;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0045_00004;47016_0045;4;;Route de Gaugelin;47310;47016;Aubiac;;;504738.87;6340600.3;0.559246;44.137246;entrée;;;AUBIAC;ROUTE DE GAUGELIN;commune;commune;1;470160000D0325;ca693d87-9d18-4395-a6a7-11960f3b9623;4b228688-c226-4220-a4c0-d0b0bcfb7537;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0004_00007;47016_0004;7;;Impasse d’Aurion;47310;47016;Aubiac;;;505539.98;6341472.5;0.568918;44.145315;bâtiment;;;AUBIAC;IMPASSE D AURION;commune;commune;1;470160000A0564;cb145b21-b150-4eda-a148-9ecc19905fc2;e2a99832-5a0e-4d85-99f1-2d7a6d6c86bb;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0130_00006;47016_0130;6;;Rue du Placier;47310;47016;Aubiac;;;504901.33;6341140.61;0.561067;44.142152;entrée;;;AUBIAC;RUE DU PLACIER;commune;commune;1;470160000G0588;cb4b8be3-6308-4e93-a674-3a3e90a08bc4;1d06d4e1-fec9-445a-be80-7d5c0629f047;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0160_00038_bis;47016_0160;38;bis;Route de segougnac;47310;47016;Aubiac;;;507513.16;6341555.98;0.593539;44.14661;entrée;;;AUBIAC;ROUTE DE SEGOUGNAC;commune;commune;1;;cb60027f-32a3-4423-8317-bc4cdeb0a588;24c43b81-052f-4968-83ce-84201f6ad3b4;d42ed83a-aea4-42fc-91e0-d2b64713edde;missing
47016_0150_00008;47016_0150;8;;Route de Roquefort;47310;47016;Aubiac;;;504788.81;6340866.86;0.559767;44.139658;bâtiment;;;AUBIAC;ROUTE DE ROQUEFORT;commune;commune;1;470160000G0716;cc12f9b4-03b9-49f3-adbc-353579d89f2c;01f435f8-1ce1-4ac6-8108-fa69e7058841;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0100_00012;47016_0100;12;;Chemin de Mondette;47310;47016;Aubiac;;;506016.92;6340971.74;0.575069;44.140942;entrée;;;AUBIAC;CHEMIN DE MONDETTE;commune;commune;1;470160000B0802;cc2841eb-0088-4f53-9eab-3d28c11ce087;0cf22f0a-ead1-4d63-9c11-4a5800359048;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0060_00021;47016_0060;21;;Chemin de Lamartine;47310;47016;Aubiac;;;505869.03;6339043.05;0.573962;44.12355;entrée;;;AUBIAC;CHEMIN DE LAMARTINE;commune;commune;1;470160000C0713;cc301716-d1cf-4038-82a4-de5ce4d6c2f9;b18b1842-27be-44bb-a611-49880965b521;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0025_00007;47016_0025;7;;Chemin de Duran;47310;47016;Aubiac;;;505967.11;6339592.71;0.574976;44.128522;entrée;;;AUBIAC;CHEMIN DE DURAN;commune;commune;1;470160000C0585;cc6d708d-e1bb-4aff-8938-519af9cb7995;874c9cdc-6c08-43ea-b30b-f82786ca622d;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0085_00056;47016_0085;56;;chemin de marron;47310;47016;Aubiac;;;504782.73;6340553.59;0.559812;44.136838;entrée;;;AUBIAC;CHEMIN DE MARRON;commune;commune;1;470160000G0548;cd1151d7-9717-4916-ae4f-551e85d42111;08268d38-6379-4152-83f1-c93568ab0826;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0150_00001;47016_0150;1;;Route de Roquefort;47310;47016;Aubiac;;;504721.7;6340992.65;0.55888;44.140771;bâtiment;;;AUBIAC;ROUTE DE ROQUEFORT;commune;commune;1;470160000E0270;ce66704a-cb98-47c1-8762-144922585e5a;01f435f8-1ce1-4ac6-8108-fa69e7058841;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0160_00003;47016_0160;3;;Route de segougnac;47310;47016;Aubiac;;;507009.47;6340659.66;0.587588;44.138408;entrée;;;AUBIAC;ROUTE DE SEGOUGNAC;commune;commune;1;470160000B0602;cec0ed3f-f2a8-4ed5-ba10-26f86f0a2a7a;24c43b81-052f-4968-83ce-84201f6ad3b4;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0100_00012_bis;47016_0100;12;bis;Chemin de Mondette;47310;47016;Aubiac;;;506025.37;6340993.93;0.575166;44.141144;entrée;;;AUBIAC;CHEMIN DE MONDETTE;commune;commune;1;470160000B0803;cf8acc45-0635-4229-ada0-b81a534e2909;0cf22f0a-ead1-4d63-9c11-4a5800359048;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0115_00065;47016_0115;65;;Route des Moulins;47310;47016;Aubiac;;;505809.31;6340897.09;0.572504;44.140213;entrée;;;AUBIAC;ROUTE DES MOULINS;commune;commune;1;470160000A0510;cfcbd59e-f739-48d0-aa6c-4e5e35132e72;9d97b382-fd3f-4c12-a369-a6d764bd4c5f;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
47016_0015_00002;47016_0015;2;;Chemin du Conte;47310;47016;Aubiac;;;506686.5;6340294.39;0.583693;44.135033;entrée;;;AUBIAC;CHEMIN DU CONTE;commune;commune;1;470160000C0608;cfd425b2-bbcb-4031-8b5b-dd4d77ba8e53;af035447-5e02-42ad-853d-75c0136ba78c;d42ed83a-aea4-42fc-91e0-d2b64713edde;add
