id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status
79029_0060_00014;79029_0060;14;;Rue de Gâtine;79420;79029;Beaulieu-sous-Parthenay;;;452208.33;6613814.11;-0.236666;46.578653;segment;;;BEAULIEU-SOUS-PARTHENAY;RUE DE GATINE;commune;commune;1;79029000AA0010;;;;exist
79029_0060_00016;79029_0060;16;;Rue de Gâtine;79420;79029;Beaulieu-sous-Parthenay;;;452199.74;6613825.02;-0.236784;46.578748;segment;;;BEAULIEU-SOUS-PARTHENAY;RUE DE GATINE;commune;commune;1;79029000AA0010;;;;add
79029_0060_00017;79029_0060;17;;Rue de Gâtine;79420;79029;Beaulieu-sous-Parthenay;;;452133.62;6613954.67;-0.237716;46.57989;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DE GATINE;commune;commune;1;79029000AB0002;;;;add
79029_0060_00018;79029_0060;18;;Rue de Gâtine;79420;79029;Beaulieu-sous-Parthenay;;;451911.11;6615402.21;-0.241395;46.592831;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DE GATINE;commune;commune;1;790290000A0724;;;;add
79029_0060_00019;79029_0060;19;;Rue de Gâtine;79420;79029;Beaulieu-sous-Parthenay;;;451947.41;6614843.74;-0.240622;46.58782;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DE GATINE;commune;commune;1;790290000A0783;;;;add
79029_0060_00020;79029_0060;20;;Rue de Gâtine;79420;79029;Beaulieu-sous-Parthenay;;;451910.89;6615560.94;-0.241483;46.594259;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DE GATINE;commune;commune;1;790290000A0699;;;;add
79029_0060_00021;79029_0060;21;;Rue de Gâtine;79420;79029;Beaulieu-sous-Parthenay;;;451964.98;6614943.05;-0.240446;46.58872;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DE GATINE;commune;commune;1;790290000A0784;;;;add
79029_0060_00001_bis;79029_0060;1;bis;Rue de Gâtine;79420;79029;Beaulieu-sous-Parthenay;;;452253.3;6613632.31;-0.235982;46.577034;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DE GATINE;commune;commune;1;79029000AB0017;;;;add
79029_0060_00001_ter;79029_0060;1;ter;Rue de Gâtine;79420;79029;Beaulieu-sous-Parthenay;;;452253;6613638.11;-0.235989;46.577086;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DE GATINE;commune;commune;1;79029000AB0016;;;;add
79029_0060_00010_bis;79029_0060;10;bis;Rue de Gâtine;79420;79029;Beaulieu-sous-Parthenay;;;452265.26;6613649.05;-0.235835;46.577189;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DE GATINE;commune;commune;1;79029000AA0067;;;;add
79029_0100_00001;79029_0100;1;;Route du Muguet;79420;79029;Beaulieu-sous-Parthenay;;;452323.2;6613336.9;-0.234912;46.574402;entrée;;;BEAULIEU-SOUS-PARTHENAY;ROUTE DU MUGUET;commune;commune;1;79029000AC0055;;;;add
79029_0100_00002;79029_0100;2;;Route du Muguet;79420;79029;Beaulieu-sous-Parthenay;;;452312.91;6613310.09;-0.235032;46.574157;entrée;;;BEAULIEU-SOUS-PARTHENAY;ROUTE DU MUGUET;commune;commune;1;79029000AC0024;;;;add
79029_0100_00007;79029_0100;7;;Route du Muguet;79420;79029;Beaulieu-sous-Parthenay;;;452502.85;6613289.52;-0.232543;46.574042;entrée;;;BEAULIEU-SOUS-PARTHENAY;ROUTE DU MUGUET;commune;commune;1;79029000AC0047;;;;add
79029_0100_00009;79029_0100;9;;Route du Muguet;79420;79029;Beaulieu-sous-Parthenay;;;452584.34;6613261.84;-0.231465;46.573823;entrée;;;BEAULIEU-SOUS-PARTHENAY;ROUTE DU MUGUET;commune;commune;1;79029000AC0037;;;;add
79029_0100_00010;79029_0100;10;;Route du Muguet;79420;79029;Beaulieu-sous-Parthenay;;;452424.01;6613266.08;-0.233559;46.573802;entrée;;;BEAULIEU-SOUS-PARTHENAY;ROUTE DU MUGUET;commune;commune;1;79029000AC0027;;;;exist
79029_0100_00011;79029_0100;11;;Route du Muguet;79420;79029;Beaulieu-sous-Parthenay;;;452616.03;6613240.1;-0.23104;46.573639;entrée;;;BEAULIEU-SOUS-PARTHENAY;ROUTE DU MUGUET;commune;commune;1;79029000AC0138;;;;add
79029_0100_00013;79029_0100;13;;Route du Muguet;79420;79029;Beaulieu-sous-Parthenay;;;452669.12;6613207.69;-0.23033;46.573367;entrée;;;BEAULIEU-SOUS-PARTHENAY;ROUTE DU MUGUET;commune;commune;1;79029000AC0032;;;;add
79029_0100_00014;79029_0100;14;;Route du Muguet;79420;79029;Beaulieu-sous-Parthenay;;;452531.49;6613270.34;-0.232159;46.57388;entrée;;;BEAULIEU-SOUS-PARTHENAY;ROUTE DU MUGUET;commune;commune;1;79029000AC0030;;;;add
79029_0100_00015;79029_0100;15;;Route du Muguet;79420;79029;Beaulieu-sous-Parthenay;;;453022.06;6613021.08;-0.225626;46.571818;entrée;;;BEAULIEU-SOUS-PARTHENAY;ROUTE DU MUGUET;commune;commune;1;790290000E0272;;;;exist
79029_0145_00001;79029_0145;1;;Place Saint Benoit;79420;79029;Beaulieu-sous-Parthenay;;;452247.06;6613521.09;-0.236004;46.576031;entrée;;;BEAULIEU-SOUS-PARTHENAY;PLACE SAINT BENOIT;commune;commune;1;79029000AB0050;;;;add
79029_0145_00003;79029_0145;3;;Place Saint Benoit;79420;79029;Beaulieu-sous-Parthenay;;;452250.67;6613528.94;-0.235961;46.576103;entrée;;;BEAULIEU-SOUS-PARTHENAY;PLACE SAINT BENOIT;commune;commune;1;79029000AB0050;;;;add
79029_0145_00005;79029_0145;5;;Place Saint Benoit;79420;79029;Beaulieu-sous-Parthenay;;;452249.02;6613541.01;-0.235989;46.576211;entrée;;;BEAULIEU-SOUS-PARTHENAY;PLACE SAINT BENOIT;commune;commune;1;79029000AB0051;;;;add
79029_0145_00007;79029_0145;7;;Place Saint Benoit;79420;79029;Beaulieu-sous-Parthenay;;;452247.51;6613550.97;-0.236014;46.5763;entrée;;;BEAULIEU-SOUS-PARTHENAY;PLACE SAINT BENOIT;commune;commune;1;79029000AB0043;;;;add
79029_0145_00009;79029_0145;9;;Place Saint Benoit;79420;79029;Beaulieu-sous-Parthenay;;;452257.02;6613549.24;-0.235889;46.576288;entrée;;;BEAULIEU-SOUS-PARTHENAY;PLACE SAINT BENOIT;commune;commune;1;;;;;missing
79029_0145_00011;79029_0145;11;;Place Saint Benoit;79420;79029;Beaulieu-sous-Parthenay;;;452267.52;6613549.03;-0.235752;46.57629;entrée;;;BEAULIEU-SOUS-PARTHENAY;PLACE SAINT BENOIT;commune;commune;1;;;;;missing
79029_0145_00013;79029_0145;13;;Place Saint Benoit;79420;79029;Beaulieu-sous-Parthenay;;;452277.64;6613552.95;-0.235622;46.576329;entrée;;;BEAULIEU-SOUS-PARTHENAY;PLACE SAINT BENOIT;commune;commune;1;79029000AB0046;;;;add
79029_0145_00007_bis;79029_0145;7;bis;Place Saint Benoit;79420;79029;Beaulieu-sous-Parthenay;;;452247.52;6613551.08;-0.236014;46.576301;entrée;;;BEAULIEU-SOUS-PARTHENAY;PLACE SAINT BENOIT;commune;commune;1;79029000AB0043;;;;add
79029_0180_00001;79029_0180;1;;Rue des Vergers;79420;79029;Beaulieu-sous-Parthenay;;;452169.9;6613631.95;-0.23707;46.577;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DES VERGERS;commune;commune;1;79029000AB0014;;;;add
79029_0180_00002;79029_0180;2;;Rue des Vergers;79420;79029;Beaulieu-sous-Parthenay;;;452124.45;6613589.14;-0.23764;46.576598;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DES VERGERS;commune;commune;1;79029000AB0099;;;;add
79029_0180_00003;79029_0180;3;;Rue des Vergers;79420;79029;Beaulieu-sous-Parthenay;;;452154.95;6613603.89;-0.23725;46.576742;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DES VERGERS;commune;commune;1;79029000AB0107;;;;add
79029_0180_00007;79029_0180;7;;Rue des Vergers;79420;79029;Beaulieu-sous-Parthenay;;;452148.38;6613520.24;-0.237291;46.575987;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DES VERGERS;commune;commune;1;79029000AB0054;;;;add
79029_0180_00009;79029_0180;9;;Rue des Vergers;79420;79029;Beaulieu-sous-Parthenay;;;452156.83;6613404.97;-0.237119;46.574953;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DES VERGERS;commune;commune;1;;;;;missing
79029_0180_00013;79029_0180;13;;Rue des Vergers;79420;79029;Beaulieu-sous-Parthenay;;;452124.57;6613296.81;-0.237482;46.573968;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DES VERGERS;commune;commune;1;79029000AB0111;;;;add
79029_0180_00015;79029_0180;15;;Rue des Vergers;79420;79029;Beaulieu-sous-Parthenay;;;452017.19;6613255.97;-0.238861;46.573561;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DES VERGERS;commune;commune;1;79029000AB0111;;;;add
79029_0180_00020;79029_0180;20;;Rue des Vergers;79420;79029;Beaulieu-sous-Parthenay;;;452006.73;6613333.54;-0.239039;46.574255;entrée;;;BEAULIEU-SOUS-PARTHENAY;RUE DES VERGERS;commune;commune;1;79029000AB0090;;;;add
79029_0130_00001;79029_0130;1;;Côte à Rosette;79420;79029;Beaulieu-sous-Parthenay;;;452262.8;6613340.49;-0.235702;46.574412;entrée;;;BEAULIEU-SOUS-PARTHENAY;COTE A ROSETTE;commune;commune;1;79029000AB0067;;;;add
79029_0130_00003;79029_0130;3;;Côte à Rosette;79420;79029;Beaulieu-sous-Parthenay;;;452231.17;6613343.12;-0.236116;46.574424;entrée;;;BEAULIEU-SOUS-PARTHENAY;COTE A ROSETTE;commune;commune;1;79029000AB0066;;;;add
79029_0130_00004;79029_0130;4;;Côte à Rosette;79420;79029;Beaulieu-sous-Parthenay;;;452229.1;6613370.99;-0.236158;46.574674;entrée;;;BEAULIEU-SOUS-PARTHENAY;COTE A ROSETTE;commune;commune;1;79029000AB0062;;;;add
79029_0130_00006;79029_0130;6;;Côte à Rosette;79420;79029;Beaulieu-sous-Parthenay;;;452194.21;6613370.64;-0.236613;46.574658;entrée;;;BEAULIEU-SOUS-PARTHENAY;COTE A ROSETTE;commune;commune;1;79029000AB0063;;;;add
