id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status;distance_m;confiance;cad_prefixe;cad_section;cad_numero
28006_0006_00006;28006_0006;6;;Rue Maurice Breton;28300;28006;Amilly;;;581571.1;6817351.34;1.398469;48.445628;entrée;;;AMILLY;RUE MAURICE BRETON;commune;commune;1;28006000YO0048;40ac65a7-65ad-48f7-a396-26c82bad396d;71cff754-0096-4893-afc9-968bed5047fe;ad936266-cd69-47a8-a4db-331659e895d7;exist;;;000;YO;0048
28006_0005_00012;28006_0005;12;;Rue de Bailleau;28300;28006;Amilly;;;581472.7;6817328.21;1.397145;48.445402;entrée;;;AMILLY;RUE DE BAILLEAU;commune;commune;1;28006000AD0017;40c62153-c6c7-4107-a932-62e92686d5e9;5b514951-05b3-4d86-b1f8-d4895a09114e;ad936266-cd69-47a8-a4db-331659e895d7;within;0.0;1.0;000;AD;0017
28006_0025_00034;28006_0025;34;;Rue de la Gare;28300;28006;Amilly;;;580912.72;6816658.74;1.389759;48.439278;entrée;;;AMILLY;RUE DE LA GARE;commune;commune;1;28006000AA0108;4119f191-ee38-4b9b-9e73-ac8b631f5301;563ec595-b7f0-420c-9025-b87c875e5cb4;ad936266-cd69-47a8-a4db-331659e895d7;nearest;1.68;0.9;000;AA;0108
28006_0020_00039;28006_0020;39;;Rue des Fauconneries;28300;28006;Amilly;;;581461.61;6816643.35;1.397183;48.43924;entrée;;;AMILLY;RUE DES FAUCONNERIES;commune;commune;1;28006000AA0169;4152cf80-e80b-4837-9638-29a6d338bd85;901ce1fe-71ce-4867-aaca-178ea417076f;ad936266-cd69-47a8-a4db-331659e895d7;nearest;2.33;0.9;000;AA;0169
28006_0032_00008;28006_0032;8;;Rue Maurice Genevoix;28300;28006;Amilly;;;581748.53;6816791.51;1.401021;48.440625;entrée;;;AMILLY;RUE MAURICE GENEVOIX;commune;commune;1;28006000AB0007;418e6c1c-9d49-45e5-8afd-5ade24309be6;f58f399b-b563-40d7-a670-261db2df4364;ad936266-cd69-47a8-a4db-331659e895d7;nearest;2.59;0.9;000;AB;0007
28006_0022_00012;28006_0022;12;;Rue Georges Fouré;28300;28006;Amilly;;;581593.19;6817393.36;1.398756;48.44601;entrée;;;AMILLY;RUE GEORGES FOURE;commune;commune;1;28006000YO0059;42731e06-4021-4c8f-9873-f625f6b782c9;35f4d599-6df9-4430-9ec5-79a773adafd9;ad936266-cd69-47a8-a4db-331659e895d7;exist;;;000;YO;0059
28006_0014_00010;28006_0014;10;;Rue des 5 Croix;28300;28006;Amilly;;;582934.08;6815734.11;1.417334;48.431329;entrée;;;AMILLY;RUE DES 5 CROIX;commune;commune;1;28006000AH0078;42954f6d-b857-473f-9773-aa940bc7426c;29fb10ee-2c8c-49b4-bf0c-bc07286e5005;ad936266-cd69-47a8-a4db-331659e895d7;nearest;1.79;0.9;000;AH;0078
28006_0020_00012;28006_0020;12;;Rue des Fauconneries;28300;28006;Amilly;;;581046.12;6816728.95;1.391543;48.439934;entrée;;;AMILLY;RUE DES FAUCONNERIES;commune;commune;1;28006000AA0090;42abd49d-0ec2-40bb-afb5-6b3ae8758eb9;901ce1fe-71ce-4867-aaca-178ea417076f;ad936266-cd69-47a8-a4db-331659e895d7;nearest;0.71;0.9;000;AA;0090
28006_0045_00011;28006_0045;11;;Rue du Rotoir;28300;28006;Amilly;;;581099.68;6817204.71;1.392136;48.444223;entrée;;;AMILLY;RUE DU ROTOIR;commune;commune;1;28006000AC0030;42b43381-b3db-4b71-8925-d2aed553bc22;edc9bd6c-f91a-4d06-af3c-133af7f6a9b0;ad936266-cd69-47a8-a4db-331659e895d7;nearest;1.78;0.9;000;AC;0030
28006_0032_00009;28006_0032;9;;Rue Maurice Genevoix;28300;28006;Amilly;;;581739.39;6816862.52;1.400878;48.441262;entrée;;;AMILLY;RUE MAURICE GENEVOIX;commune;commune;1;28006000AB0045;43953130-4259-4fb5-8297-45681bfdf749;f58f399b-b563-40d7-a670-261db2df4364;ad936266-cd69-47a8-a4db-331659e895d7;nearest;2.16;0.9;000;AB;0045
28006_0020_00062;28006_0020;62;;Rue des Fauconneries;28300;28006;Amilly;;;581541.07;6816603.82;1.398268;48.438899;entrée;;;AMILLY;RUE DES FAUCONNERIES;commune;commune;1;28006000AA0064;43e724e6-4f0a-4b55-98a5-dfce2a810fdb;901ce1fe-71ce-4867-aaca-178ea417076f;ad936266-cd69-47a8-a4db-331659e895d7;nearest;0.62;0.9;000;AA;0064
28006_0014_00034;28006_0014;34;;Rue des 5 Croix;28300;28006;Amilly;;;582702.92;6815736.63;1.414209;48.43131;entrée;;;AMILLY;RUE DES 5 CROIX;commune;commune;1;28006000AH0048;4430921a-e5ce-4831-a08c-4115f5d62699;29fb10ee-2c8c-49b4-bf0c-bc07286e5005;ad936266-cd69-47a8-a4db-331659e895d7;nearest;1.71;0.9;000;AH;0048
