id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status
59009_3670_00015;59009_3670;15;;Rue Corneille;59650;59009;Villeneuve-d'Ascq;;;709827.98;7058776.59;3.138657;50.625905;entrée;;;VILLENEUVE D ASCQ;RUE CORNEILLE;commune;commune;1;59009000NN0091;5348f603-47de-4dc6-b721-a0a8f83f8375;4965565b-54a2-4290-ac81-fcd0aaf38048;beb8363a-ada5-463b-93b1-7761f47150ff;add
59009_6480_00021;59009_6480;21;;Rue Jean Baptiste de la Salle;59650;59009;Villeneuve-d'Ascq;;;710512.91;7059026.76;3.148327;50.628139;entrée;;;VILLENEUVE D ASCQ;RUE JEAN BAPTISTE DE LA SALLE;commune;commune;1;59009000MS0007;534cd4e9-5075-408d-915f-f20d41a0c7f0;eec9c0ad-21ce-44aa-9593-8b1746d59321;beb8363a-ada5-463b-93b1-7761f47150ff;add
59009_5310_00005;59009_5310;5;;Allee Lavoisier;59650;59009;Villeneuve-d'Ascq;;;709925.7;7060667.95;3.140083;50.642877;entrée;;;VILLENEUVE D ASCQ;ALLEE LAVOISIER;commune;commune;1;59009000LZ0245;534d39a0-566e-4c8b-a281-4fc74a0971be;fe11a039-7dc2-412e-aa3e-3c94b8bd533c;beb8363a-ada5-463b-93b1-7761f47150ff;add
59009_2530_00010;59009_2530;10;;Avenue de Brigode;59650;59009;Villeneuve-d'Ascq;;;711576.17;7058635.63;3.163317;50.62461;entrée;;;VILLENEUVE D ASCQ;AVENUE DE BRIGODE;commune;commune;1;59009000PP0071;534ef2b6-e202-462c-bc5a-3d5248aed100;617f0326-d57f-424c-ab96-efa973918455;beb8363a-ada5-463b-93b1-7761f47150ff;add
59009_6660_00030;59009_6660;30;;Rue de la Station;59650;59009;Villeneuve-d'Ascq;;;710457.17;7058588.52;3.147529;50.624207;entrée;;;VILLENEUVE D ASCQ;RUE DE LA STATION;commune;commune;1;59009000NN0819;53505845-4eb4-4705-bdac-cf6539af50a5;1ebcf299-62b6-4b80-bb52-299db5606ec3;beb8363a-ada5-463b-93b1-7761f47150ff;add
59009_0094_00025;59009_0094;25;;Allée des Alouettes;59650;59009;Villeneuve-d'Ascq;;;711205;7058509.07;3.158077;50.623481;entrée;;;VILLENEUVE D ASCQ;ALLEE DES ALOUETTES;commune;commune;1;59009000NP0626;535ed9e3-07e3-4572-9b6c-fd75e5ddcd95;4fb92c3e-dac1-4b15-b975-adfbe57a298a;beb8363a-ada5-463b-93b1-7761f47150ff;add
59009_3670_00026;59009_3670;26;;Rue Corneille;59650;59009;Villeneuve-d'Ascq;;;709884.63;7058684.98;3.139454;50.625082;entrée;;;VILLENEUVE D ASCQ;RUE CORNEILLE;commune;commune;1;59009000NN0456;535fe88f-a4b8-442e-867d-c645f2a6afe2;4965565b-54a2-4290-ac81-fcd0aaf38048;beb8363a-ada5-463b-93b1-7761f47150ff;add
59009_3890_00028;59009_3890;28;;Rue de la Crete;59650;59009;Villeneuve-d'Ascq;;;709171.66;7060699.76;3.129442;50.643174;entrée;;;VILLENEUVE D ASCQ;RUE DE LA CRETE;commune;commune;1;59009000LY0529;535ff1d8-93c8-431d-87fb-415737a91cfd;ccc2c9d0-b5a7-4d4c-82cf-00582b02135a;beb8363a-ada5-463b-93b1-7761f47150ff;add
59009_3670_00044;59009_3670;44;;Rue Corneille;59650;59009;Villeneuve-d'Ascq;;;709931.75;7058653.08;3.140118;50.624795;entrée;;;VILLENEUVE D ASCQ;RUE CORNEILLE;commune;commune;1;59009000NN0422;5364118b-c3cd-43b3-ba3b-ded6436460d9;4965565b-54a2-4290-ac81-fcd0aaf38048;beb8363a-ada5-463b-93b1-7761f47150ff;add
59009_3600_00016;59009_3600;16;;Rue de Copenhague;59650;59009;Villeneuve-d'Ascq;;;710921.72;7060591.91;3.154138;50.642178;entrée;;;VILLENEUVE D ASCQ;RUE DE COPENHAGUE;commune;commune;1;59009000MA0729;5366c158-d93e-4b34-a5bb-8ecb6ab24f04;62e9929e-0d88-415d-b338-0713be40dd34;beb8363a-ada5-463b-93b1-7761f47150ff;add
59009_4710_00045;59009_4710;45;;Rue du General Leclerc;59650;59009;Villeneuve-d'Ascq;;;709006.75;7060151.7;3.127102;50.638258;entrée;;;VILLENEUVE D ASCQ;RUE DU GENERAL LECLERC;commune;commune;1;59009000NA0092;536edc22-cfec-4b0e-aeec-f0bf1b840a71;3fec4149-803e-479b-aa50-3bbe0503a8e8;beb8363a-ada5-463b-93b1-7761f47150ff;add
