id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status
21012_0080_00004;21012_0080;4;;Chemin des 4 Bornes;21400;21012;Ampilly-le-Sec;;;814502.74;6747000.74;4.530019;47.813417;entrée;;;AMPILLY LE SEC;CHEMIN DES 4 BORNES;commune;commune;1;;d0dffa83-6bd8-486c-b15d-ced18b70d2be;a76d480f-62bf-4179-bf20-6ef7f00f42f1;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;missing
21012_0170_00004;21012_0170;4;;Rue de la Vacherie;21400;21012;Ampilly-le-Sec;;;814557.67;6746391.81;4.530595;47.807928;entrée;;;AMPILLY LE SEC;RUE DE LA VACHERIE;commune;commune;1;210120000E0018;d43c098b-e8b8-43ec-8b99-9677350a7fbd;8a7ce569-d883-4dd9-bcb1-ecf5b8255ec4;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;exist
21012_6hovtr_00001;;1;;Voie communale n° 202 dite du Moulin Neuf;21400;21012;Ampilly-le-Sec;;;815447.83;6745807.81;4.542333;47.802517;entrée;;;AMPILLY LE SEC;VOIE C N 202 DITE DU MOUL NEUF;commune;commune;1;;d4a3e89b-6e18-46c8-899e-55d298a8c014;802c14a1-89c2-43d3-acd5-1b662f5a08ec;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;missing
21012_0090_00002;21012_0090;2;;Rue de la Maison Commune;21400;21012;Ampilly-le-Sec;;;814582.39;6746537.54;4.530963;47.809235;entrée;;;AMPILLY LE SEC;RUE DE LA MAISON COMMUNE;commune;commune;1;210120000E0040;d5c0b4ab-9b65-449c-a1d9-605324067f46;c22d59b0-577a-4083-ac3e-cbc8878b1b1f;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0080_00005;21012_0080;5;;Chemin des 4 Bornes;21400;21012;Ampilly-le-Sec;;;814542.8;6746903.72;4.530529;47.812537;parcelle;;;AMPILLY LE SEC;CHEMIN DES 4 BORNES;commune;commune;1;210120000C0283;d636249f-221e-4946-b0d0-ca7ba00ad73e;a76d480f-62bf-4179-bf20-6ef7f00f42f1;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0060_00002;21012_0060;2;;Rue de l’Eglise;21400;21012;Ampilly-le-Sec;;;814672.99;6746451.61;4.532151;47.808446;entrée;;;AMPILLY LE SEC;RUE DE L EGLISE;commune;commune;1;;d85aa2fd-4f05-4893-a586-9a00785624ea;bd7fd369-f60d-4de4-8806-d77fe06330d1;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;missing
21012_0150_00029;21012_0150;29;;Grande Rue;21400;21012;Ampilly-le-Sec;;;814644.38;6746776.34;4.531853;47.811373;entrée;;;AMPILLY LE SEC;GRANDE RUE;commune;commune;1;210120000E0083;d86ea8a4-2388-4dc1-9423-f34367e664ca;df4ca75e-7d08-4db5-85e6-ef090b3c2fbf;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0170_00011;21012_0170;11;;Rue de la Vacherie;21400;21012;Ampilly-le-Sec;;;814381.51;6746341.72;4.528229;47.807508;entrée;;;AMPILLY LE SEC;RUE DE LA VACHERIE;commune;commune;1;21012000ZK0074;d9b7e420-4166-46f6-bcab-4e1707080ed8;8a7ce569-d883-4dd9-bcb1-ecf5b8255ec4;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;exist
21012_0030_00005_bis;21012_0030;5;bis;Rue de Chamesson;21400;21012;Ampilly-le-Sec;;;814675.8;6746376.43;4.532169;47.807769;entrée;;;AMPILLY LE SEC;RUE DE CHAMESSON;commune;commune;1;210120000E0147;db4c88ce-75cc-4a8b-9cf6-4a62dfb48a54;04822e31-ad74-4eba-aa54-2ebd7554c7b3;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0170_00005;21012_0170;5;;Rue de la Vacherie;21400;21012;Ampilly-le-Sec;;;814484.77;6746359.5;4.529613;47.80765;entrée;;;AMPILLY LE SEC;RUE DE LA VACHERIE;commune;commune;1;210120000E0299|210120000E0204;dc0aa69d-4e96-4472-922d-e6a20f2e52d2;8a7ce569-d883-4dd9-bcb1-ecf5b8255ec4;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;exist
21012_0045_00001;21012_0045;1;;Rue de la Petite Confree;21400;21012;Ampilly-le-Sec;;;814571.13;6746519.76;4.530808;47.809077;entrée;;;AMPILLY LE SEC;RUE DE LA PETITE CONFREE;commune;commune;1;210120000E0159;dd074dae-dea0-4242-aaad-d0098e7f256b;4dd29307-7943-47e5-a2e5-19485016c556;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0055_00005;21012_0055;5;;Rue Edme Boitouzet;21400;21012;Ampilly-le-Sec;;;814578.22;6746304.64;4.530847;47.80714;entrée;;;AMPILLY LE SEC;RUE EDME BOITOUZET;commune;commune;1;210120000E0180;dd8b9f65-3b4d-418e-b3b6-d663aceac14e;0000e898-b599-4eed-811e-a749979e77a3;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0076_00002;21012_0076;2;;Place Henri Petit;21400;21012;Ampilly-le-Sec;;;814536.41;6746472.86;4.530332;47.808661;entrée;;;AMPILLY LE SEC;PLACE HENRI PETIT;commune;commune;1;;dda92bf6-665d-4dec-9c74-34442cae5d78;e12f7ffe-505d-40cc-ab3b-b22cbe62fa2e;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;missing
21012_nqqc6d_00003;;3;;Rue du Champeau;21400;21012;Ampilly-le-Sec;;;814692.07;6747266.01;4.532617;47.815771;entrée;;;AMPILLY LE SEC;RUE DU CHAMPEAU;commune;commune;1;210120000C0232;de778d8b-ef79-41fb-8fbd-92cc6667af2c;f7b7085e-667f-454f-9c28-37eedf6b0bbd;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
