id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status;distance_m;confiance;cad_prefixe;cad_section;cad_numero
83007_0120_00046;83007_0120;46;;Rue de l'Eperon;83630;83007;Aups;;;960315.87;6286365.71;6.22546;43.628482;segment;;;AUPS;RUE DE L EPERON;commune;commune;0;830070000I0285;e76bb555-c5f8-413f-b718-66e68eca86af;d7ad265c-077c-4836-8590-7a634114bf7f;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0285
83007_0410_00272;83007_0410;272;;Route de Moissac;83630;83007;Aups;;;959611.73;6286839.39;6.216984;43.632999;entrée;;;AUPS;ROUTE DE MOISSAC;commune;commune;0;830070000H1103;e76c172e-731f-49e0-afb1-7923d76989fb;0b4138a3-4540-41ed-9520-6a3769ac741b;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0H;1103
83007_0135_00239;83007_0135;239;;Chemin des Escadenieres;83630;83007;Aups;;;959809.53;6287357.45;6.219694;43.637584;segment;;;AUPS;CHEMIN DES ESCADENIERES;commune;commune;0;830070000H0207;e79a4099-de34-4560-8b6b-e4fa511a06da;17757bc8-79ac-4086-8c70-cf82545a27cc;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0H;0207
83007_0280_00029;83007_0280;29;;Rue Jules Philibert;83630;83007;Aups;;;960323.82;6286297.74;6.225524;43.627868;segment;;;AUPS;RUE JULES PHILIBERT;commune;commune;0;830070000I0423;e7ba430f-b78a-42d1-a119-43232d5880c0;76de06e1-11f0-4340-862b-135fff6d95d0;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0423
83007_0155_00431;83007_0155;431;;Route de Fox Amphoux;83630;83007;Aups;;;959855.26;6285943.46;6.219546;43.624855;entrée;;;AUPS;ROUTE DE FOX AMPHOUX;commune;commune;0;830070000F0754;e7dcd608-9771-4ac1-99a3-d9800e730035;d0a031c6-3691-4232-b110-bd3fe9b1288c;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0F;0754
83007_0420_00173;83007_0420;173;;Montée des Moulins;83630;83007;Aups;;;960758.97;6286317.98;6.23092;43.62789;segment;;;AUPS;MONTEE DES MOULINS;commune;commune;0;830070000B0333;e7eff43a-ee7c-4a20-a805-0138c1b25f46;642efe58-7652-413a-b270-413f466595e6;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0B;0333
83007_b092_00049;83007_B092;49;;Saint Pierre;83630;83007;Aups;;;959818.88;6286698.68;6.219477;43.631658;parcelle;;;AUPS;SAINT PIERRE;commune;commune;0;830070000H0858;e83c6e33-f0d0-4c7e-ab28-d81fc0718200;dcdd2b27-55c5-4616-8d3f-063dca9c77f5;223a7636-4cee-4367-9145-af7ceab2b45f;exist;;;000;0H;0858
83007_0065_01861;83007_0065;1861;;Chemin du Cade;83630;83007;Aups;;;958741.01;6285810.35;6.205689;43.624066;entrée;;;AUPS;CHEMIN DU CADE;commune;commune;0;830070000G0885;e85848de-da35-4211-84fb-b45d3a19bfd7;738a478b-b210-4714-84d8-bdb7a3e177ed;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0G;0885
83007_0340_00018;83007_0340;18;;Rue du Marechal Foch;83630;83007;Aups;;;960178.06;6286416.36;6.22378;43.628988;segment;;;AUPS;RUE DU MARECHAL FOCH;commune;commune;0;830070000I0092;e8a5e499-56d3-4e33-af27-8cc5105ff120;d0616afa-fec9-4c0d-9a8e-0a4018add17d;223a7636-4cee-4367-9145-af7ceab2b45f;nearest;3.39;0.9;000;0I;0092
83007_0065_00198;83007_0065;198;;Chemin du Cade;83630;83007;Aups;;;958319.97;6286210.48;6.200679;43.627817;entrée;;;AUPS;CHEMIN DU CADE;commune;commune;0;830070000G1165;e8c9888d-3050-4363-9853-e9c560232750;738a478b-b210-4714-84d8-bdb7a3e177ed;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0G;1165
