id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status
89009_0025_00013;89009_0025;13;;Route d’Avallon;89200;89009;Annay-la-Côte;;;766508.03;6715086;3.883999;47.532793;entrée;;;ANNAY LA COTE;ROUTE D AVALLON;commune;commune;1;890090000C1559;a1ddf502-170d-48cc-920a-1b96f216c0c9;db17b0d4-bfde-40ab-979c-121ddc83d2e3;c471718c-5500-4992-8c98-5ce02858c7b6;exist
89009_0170_00041;89009_0170;41;;Rue du Haut;89200;89009;Annay-la-Côte;;;766571.68;6715576.45;3.884918;47.537201;entrée;;;ANNAY LA COTE;RUE DU HAUT;commune;commune;1;890090000C1220;a227661c-f175-44c0-bfaa-5acd748dfaec;c26a3187-b6b1-4733-a14c-1c027c4f926f;c471718c-5500-4992-8c98-5ce02858c7b6;exist
89009_0260_00009;89009_0260;9;;Rue de la Molaise;89200;89009;Annay-la-Côte;;;766573.37;6715110.96;3.884871;47.533011;entrée;;;ANNAY LA COTE;RUE DE LA MOLAISE;commune;commune;1;89009000ZE0099;a4238351-5c8c-419f-9183-48fbf6e061d1;98ccc07c-01de-4d38-ba1f-fac4cb2c413c;c471718c-5500-4992-8c98-5ce02858c7b6;exist
89009_0170_00039;89009_0170;39;;Rue du Haut;89200;89009;Annay-la-Côte;;;766577.48;6715556.51;3.884992;47.537021;entrée;;;ANNAY LA COTE;RUE DU HAUT;commune;commune;1;890090000C0833;a4ad9102-f208-4121-b4ee-39d7a8d4dec9;c26a3187-b6b1-4733-a14c-1c027c4f926f;c471718c-5500-4992-8c98-5ce02858c7b6;exist
89009_0170_00001;89009_0170;1;;Rue du Haut;89200;89009;Annay-la-Côte;;;766739.51;6715290.69;3.887106;47.534612;entrée;;;ANNAY LA COTE;RUE DU HAUT;commune;commune;1;890090000C0778;a4e2483f-564b-4b8d-bf2b-1691a8fa42dd;c26a3187-b6b1-4733-a14c-1c027c4f926f;c471718c-5500-4992-8c98-5ce02858c7b6;exist
89009_0080_00011;89009_0080;11;;Chemin de Derrière les Murs;89200;89009;Annay-la-Côte;;;766732.51;6715385.05;3.887027;47.535462;entrée;;;ANNAY LA COTE;CHEMIN DE DERRIERE LES MURS;commune;commune;1;890090000C1375;a5b288ad-ad9f-4f96-8938-0fae35f5ea13;147a674f-387e-47fa-beaa-78feb2d02eee;c471718c-5500-4992-8c98-5ce02858c7b6;add
89009_0380_00025_x;89009_0380;25;x;Rue Saint-Marcel;89200;89009;Annay-la-Côte;;;766980.68;6715147.75;3.89029;47.533301;entrée;;;ANNAY LA COTE;RUE SAINT MARCEL;commune;commune;1;;a6b199d0-61eb-48a6-b048-0c3cc7446e94;3a237e2b-e402-4161-ab9e-64955d60e76d;c471718c-5500-4992-8c98-5ce02858c7b6;missing
89009_0380_00044;89009_0380;44;;Rue Saint-Marcel;89200;89009;Annay-la-Côte;;;767252.93;6715118.94;3.893904;47.533014;entrée;;;ANNAY LA COTE;RUE SAINT MARCEL;commune;commune;1;89009000ZE0021;a7e14068-7dc4-46a7-a501-44793b92a255;3a237e2b-e402-4161-ab9e-64955d60e76d;c471718c-5500-4992-8c98-5ce02858c7b6;exist
89009_0380_00001;89009_0380;1;;Rue Saint-Marcel;89200;89009;Annay-la-Côte;;;766773.93;6715247.75;3.887557;47.534222;entrée;;;ANNAY LA COTE;RUE SAINT MARCEL;commune;commune;1;890090000C1260;a7f81529-b630-41fe-bbe6-200a276ca20a;3a237e2b-e402-4161-ab9e-64955d60e76d;c471718c-5500-4992-8c98-5ce02858c7b6;exist
89009_0380_00055;89009_0380;55;;Rue Saint-Marcel;89200;89009;Annay-la-Côte;;;767480.22;6715159.74;3.896931;47.533358;entrée;;;ANNAY LA COTE;RUE SAINT MARCEL;commune;commune;1;890090000D0737;a829d90b-f325-4151-9762-f3e8562b8603;3a237e2b-e402-4161-ab9e-64955d60e76d;c471718c-5500-4992-8c98-5ce02858c7b6;exist
89009_0380_00025;89009_0380;25;;Rue Saint-Marcel;89200;89009;Annay-la-Côte;;;766995.37;6715146.25;3.890485;47.533286;entrée;;;ANNAY LA COTE;RUE SAINT MARCEL;commune;commune;1;890090000C1588;a8626622-effa-4ca3-97b2-7a59f223dc41;3a237e2b-e402-4161-ab9e-64955d60e76d;c471718c-5500-4992-8c98-5ce02858c7b6;add
89009_0100_00004;89009_0100;4;;Impasse des Guerats;89200;89009;Annay-la-Côte;;;767404.68;6715120.55;3.895921;47.533013;entrée;;;ANNAY LA COTE;IMPASSE DES GUERATS;commune;commune;1;89009000ZE0091;a9d58d2a-9a4c-42bf-9285-0eb2fd79cf30;1a5118cf-2da0-47bc-bff7-a1c31881ee2a;c471718c-5500-4992-8c98-5ce02858c7b6;exist
89009_0040_00022;89009_0040;22;;Rue du Bas;89200;89009;Annay-la-Côte;;;766628.26;6715361.66;3.885638;47.535262;entrée;;;ANNAY LA COTE;RUE DU BAS;commune;commune;1;890090000C0749;aae6ac40-b8ed-472a-a696-a69371636597;31642616-a870-4a6b-a3d5-0ed6d85e234c;c471718c-5500-4992-8c98-5ce02858c7b6;exist
89009_0180_00001;89009_0180;1;;Rue de l’Horizon;89200;89009;Annay-la-Côte;;;767383.42;6715196.53;3.89565;47.533699;entrée;;;ANNAY LA COTE;RUE DE L HORIZON;commune;commune;1;890090000D0700;ac3039da-0aff-4c5f-a459-384fce59952c;a56dce01-e68e-42c1-bc88-392d7c693deb;c471718c-5500-4992-8c98-5ce02858c7b6;exist
89009_0380_00048;89009_0380;48;;Rue Saint-Marcel;89200;89009;Annay-la-Côte;;;767321.91;6715120.95;3.894821;47.533025;entrée;;;ANNAY LA COTE;RUE SAINT MARCEL;commune;commune;1;89009000ZE0094;ac54993f-ff90-4a31-8f30-9f79d8163e06;3a237e2b-e402-4161-ab9e-64955d60e76d;c471718c-5500-4992-8c98-5ce02858c7b6;exist
89009_0025_00007;89009_0025;7;;Route d’Avallon;89200;89009;Annay-la-Côte;;;766458.51;6715221.88;3.883361;47.534021;entrée;;;ANNAY LA COTE;ROUTE D AVALLON;commune;commune;1;890090000C0552;ac6312d8-2ad7-42d1-b5d4-a4cdc79bf44f;db17b0d4-bfde-40ab-979c-121ddc83d2e3;c471718c-5500-4992-8c98-5ce02858c7b6;exist
