id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status;distance_m;confiance;cad_prefixe;cad_section;cad_numero
94016_3170_00098_bis;94016_3170;98;bis;Rue Etienne Dolet;94230;94016;Cachan;;;651360.52;6854937.05;2.337904;48.792682;entrée;;;CACHAN;RUE ETIENNE DOLET;inconnue;inconnue;0;940160000Y0052;2163c6a6-f19d-4c30-8b4c-b8289a9e2a55;06e4fea0-fab3-4f74-b97f-636bf8b500c9;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;nearest;2.87;0.9;000;0Y;0052
94016_3170_00105_bis;94016_3170;105;bis;Rue Etienne Dolet;94230;94016;Cachan;;;651431.2;6854999.28;2.338859;48.793247;entrée;;;CACHAN;RUE ETIENNE DOLET;inconnue;inconnue;0;940160000X0328;2f01c40e-88fe-4842-855f-88591e91d755;06e4fea0-fab3-4f74-b97f-636bf8b500c9;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;0X;0328
94016_3170_00076_bis;94016_3170;76;bis;Rue Etienne Dolet;94230;94016;Cachan;;;651444.11;6855067.67;2.339027;48.793863;entrée;;;CACHAN;RUE ETIENNE DOLET;inconnue;inconnue;0;940160000Y0080;9b486195-e8bf-4be8-a66e-29e24cb5c52e;06e4fea0-fab3-4f74-b97f-636bf8b500c9;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;0Y;0080
94016_3170_00074_bis;94016_3170;74;bis;Rue Etienne Dolet;94230;94016;Cachan;;;651422.33;6855124.23;2.338724;48.79437;entrée;;;CACHAN;RUE ETIENNE DOLET;inconnue;inconnue;0;940160000Y0518;dc76a2cd-da56-4e9e-8894-b3043ffe0278;06e4fea0-fab3-4f74-b97f-636bf8b500c9;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;0Y;0518
94016_4761_00001;94016_4761;1;;Sentier des Joncs;94230;94016;Cachan;;;651533.69;6854859.1;2.34027;48.791994;entrée;;;CACHAN;SENTIER DES JONCS;inconnue;inconnue;0;94016000AB0180;44c37079-2cec-426a-b858-98581942df70;cd6528d9-f2a7-4e4e-99ee-27f05056d23f;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;AB;0180
94016_4761_00002;94016_4761;2;;Sentier des Joncs;94230;94016;Cachan;;;651395.94;6854315.63;2.338457;48.787096;entrée;;;CACHAN;SENTIER DES JONCS;inconnue;inconnue;0;94016000AE0420;c8e8bab7-c821-4dd9-baa1-35c79d7f3fd6;cd6528d9-f2a7-4e4e-99ee-27f05056d23f;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;AE;0420
94016_4761_00004;94016_4761;4;;Sentier des Joncs;94230;94016;Cachan;;;651480.27;6854534.09;2.33958;48.789067;entrée;;;CACHAN;SENTIER DES JONCS;inconnue;inconnue;0;94016000AD0026;81fb0d38-ee22-4b3c-9b0e-bc4bc2a531f7;cd6528d9-f2a7-4e4e-99ee-27f05056d23f;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;nearest;0.37;0.9;000;AD;0026
94016_4761_00005;94016_4761;5;;Sentier des Joncs;94230;94016;Cachan;;;651374.12;6854308.03;2.338161;48.787026;;;;CACHAN;SENTIER DES JONCS;arcep;inconnue;0;94016000AE0100;8b9023fc-6406-4e6f-86fc-41813921d747;cd6528d9-f2a7-4e4e-99ee-27f05056d23f;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;AE;0100
94016_4761_00007;94016_4761;7;;Sentier des Joncs;94230;94016;Cachan;;;651385.92;6854321.94;2.33832;48.787152;entrée;;;CACHAN;SENTIER DES JONCS;inconnue;inconnue;0;94016000AE0096;ab8e3a30-fcef-4d99-8de8-940507f6f94d;cd6528d9-f2a7-4e4e-99ee-27f05056d23f;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;AE;0096
94016_4761_00009;94016_4761;9;;Sentier des Joncs;94230;94016;Cachan;;;651388.1;6854327.37;2.338349;48.787201;entrée;;;CACHAN;SENTIER DES JONCS;inconnue;inconnue;0;94016000AE0441;547836fa-b2b6-4547-b761-2373ace6f73b;cd6528d9-f2a7-4e4e-99ee-27f05056d23f;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;AE;0441
94016_4761_00011;94016_4761;11;;Sentier des Joncs;94230;94016;Cachan;;;651390.21;6854334.25;2.338377;48.787263;entrée;;;CACHAN;SENTIER DES JONCS;inconnue;inconnue;0;94016000AE0180;2f83610e-cca4-41d8-9b1d-0d02f48397e5;cd6528d9-f2a7-4e4e-99ee-27f05056d23f;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;AE;0180
94016_4761_00013;94016_4761;13;;Sentier des Joncs;94230;94016;Cachan;;;651392.59;6854337.45;2.338409;48.787292;entrée;;;CACHAN;SENTIER DES JONCS;inconnue;inconnue;0;94016000AE0180;7dd6880e-04fa-4695-ae67-d8fcf2a83dac;cd6528d9-f2a7-4e4e-99ee-27f05056d23f;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;AE;0180
94016_4761_00002_bis;94016_4761;2;bis;Sentier des Joncs;94230;94016;Cachan;;;651389.81;6854312.79;2.338374;48.78707;entrée;;;CACHAN;SENTIER DES JONCS;inconnue;inconnue;0;94016000AE0420;987ba37a-3e5d-4d81-bd4f-78276017df9f;cd6528d9-f2a7-4e4e-99ee-27f05056d23f;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;AE;0420
94016_0002_00002;94016_0002;2;;Rue Albert Camus;94230;94016;Cachan;;;650821.22;6854394.2;2.330626;48.787759;entrée;;;CACHAN;RUE ALBERT CAMUS;inconnue;inconnue;0;940160000N0093;3dbbf1dd-0a29-4313-8c06-f8f0e4d4381a;cbdfa9e4-8e4f-4ccc-9c15-15ee34a946a9;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;0N;0093
94016_0002_00004;94016_0002;4;;Rue Albert Camus;94230;94016;Cachan;;;650890.14;6854349.91;2.331569;48.787366;entrée;;;CACHAN;RUE ALBERT CAMUS;inconnue;inconnue;0;940160000N0019;2216f3ee-1c9c-4d1a-81e5-42a2abaffe53;cbdfa9e4-8e4f-4ccc-9c15-15ee34a946a9;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;0N;0019
94016_0002_00006;94016_0002;6;;Rue Albert Camus;94230;94016;Cachan;;;650867.1;6854415.27;2.331248;48.787952;entrée;;;CACHAN;RUE ALBERT CAMUS;inconnue;inconnue;0;940160000N0100;663ec004-a339-439c-83a5-c84ff2426d79;cbdfa9e4-8e4f-4ccc-9c15-15ee34a946a9;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;0N;0100
94016_0002_00008;94016_0002;8;;Rue Albert Camus;94230;94016;Cachan;;;650883.88;6854409.12;2.331477;48.787898;entrée;;;CACHAN;RUE ALBERT CAMUS;inconnue;inconnue;0;940160000N0100;975af35e-f139-44f5-8fd8-d9d51cb86fd2;cbdfa9e4-8e4f-4ccc-9c15-15ee34a946a9;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;0N;0100
94016_0002_00010;94016_0002;10;;Rue Albert Camus;94230;94016;Cachan;;;650900.58;6854402.98;2.331705;48.787844;entrée;;;CACHAN;RUE ALBERT CAMUS;inconnue;inconnue;0;940160000N0100;8c47d5ae-0226-4e13-8494-2e2a96093d79;cbdfa9e4-8e4f-4ccc-9c15-15ee34a946a9;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;0N;0100
94016_0002_00012;94016_0002;12;;Rue Albert Camus;94230;94016;Cachan;;;650920.57;6854394.91;2.331978;48.787773;entrée;;;CACHAN;RUE ALBERT CAMUS;inconnue;inconnue;0;940160000N0100;f7aef5fc-2d83-4248-b2c2-4229f2ece22b;cbdfa9e4-8e4f-4ccc-9c15-15ee34a946a9;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;0N;0100
94016_0002_00014;94016_0002;14;;Rue Albert Camus;94230;94016;Cachan;;;650940.48;6854386.85;2.33225;48.787702;entrée;;;CACHAN;RUE ALBERT CAMUS;inconnue;inconnue;0;940160000N0100;83d31fe0-e968-4c80-b6dc-1d2b82dc83ec;cbdfa9e4-8e4f-4ccc-9c15-15ee34a946a9;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;within;0.0;1.0;000;0N;0100
94016_2545_00001;94016_2545;1;;Rue des 2 Freres;94230;94016;Cachan;;;650954.32;6854885.43;2.332381;48.792187;entrée;;;CACHAN;RUE DES 2 FRERES;inconnue;inconnue;0;940160000Q0301;bb92677c-a322-4db9-b9b6-82a36ce47807;0482398e-b601-4d7c-a789-ab1d03ccf70a;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;nearest;0.78;0.9;000;0Q;0301
94016_2545_00007;94016_2545;7;;Rue des 2 Freres;94230;94016;Cachan;;;650932;6854895.29;2.332076;48.792274;segment;;;CACHAN;RUE DES 2 FRERES;inconnue;inconnue;0;940160000Q0031;e72ed003-2506-4baa-9646-9099a97df464;0482398e-b601-4d7c-a789-ab1d03ccf70a;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;nearest;0.38;0.9;000;0Q;0031
94016_2545_00009;94016_2545;9;;Rue des 2 Freres;94230;94016;Cachan;;;650920.07;6854900.73;2.331913;48.792322;segment;;;CACHAN;RUE DES 2 FRERES;inconnue;inconnue;0;940160000Q0028;813c994e-59da-4a46-8d82-3699309f92d5;0482398e-b601-4d7c-a789-ab1d03ccf70a;e1ce01e3-3ad8-4ae8-b38b-91ad0bc88d58;nearest;0.27;0.9;000;0Q;0028
