id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status;distance_m;confiance;cad_prefixe;cad_section;cad_numero
16015_3090_00384;16015_3090;384;;Rue de Perigueux;16000;16015;Angoulême;;;480305.81;6508982.44;0.178907;45.64506;entrée;;;ANGOULEME;RUE DE PERIGUEUX;commune;commune;1;16015000BH0740;7129f4f2-d074-43f9-b614-c6b09ebb456c;f84cb4cc-8554-4550-b6b4-852413666f10;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;BH;0740
16015_3608_00010;16015_3608;10;;Rue Roger Bonnet;16000;16015;Angoulême;;;480888.7;6509744.49;0.186037;45.652105;segment;;;ANGOULEME;RUE ROGER BONNET;commune;commune;1;16015000BC0152;712bcfe1-3d92-42f4-b627-2b0771097f06;2787c466-6ad2-420b-b8ff-6d659d80d65d;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;BC;0152
16015_2480_00091;16015_2480;91;;Rue de la Loire;16000;16015;Angoulême;;;479111.27;6508889.24;0.163624;45.643836;entrée;;;ANGOULEME;RUE DE LA LOIRE;commune;commune;1;16015000BL0383;712ecb41-f9eb-41ff-aceb-3e6afaa5958f;675cc6d1-289f-4310-b50c-9a5a060fa03d;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;BL;0383
16015_2078_00024;16015_2078;24;;Rue Jean Chabaneix;16000;16015;Angoulême;;;476524.82;6508876.61;0.130447;45.642881;entrée;;;ANGOULEME;RUE JEAN CHABANEIX;commune;commune;1;16015000CY0025;71440f4b-0207-4338-9f2f-c2975b616afc;1db110b2-4995-4de9-a8d3-25f3ec6dbfa2;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;CY;0025
16015_3000_00009_bis;16015_3000;9;bis;Place du Palet;16000;16015;Angoulême;;;478493.35;6509726.9;0.155309;45.651174;entrée;;;ANGOULEME;PLACE DU PALET;commune;commune;1;16015000AO0030;7145aadf-179b-4592-80ea-1fc31884541f;28ca580e-cf65-4a22-89fc-64212640e17a;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;AO;0030
16015_3780_00139;16015_3780;139;;Rue Saint Roch;16000;16015;Angoulême;;;479618.1;6509535.9;0.169829;45.649819;segment;;;ANGOULEME;RUE SAINT ROCH;commune;commune;1;16015000AW0896;7145bfee-2f67-431e-9428-56f214f57769;bd6d8ca1-f15e-4f7a-9b9d-9b6a82b2fe9a;d048e26b-4b68-4088-acbe-731a6fe5bbcb;nearest;0.91;0.9;000;AW;0896
16015_2740_00006;16015_2740;6;;Rue Montaigne;16000;16015;Angoulême;;;477473.73;6508934.53;0.142594;45.643712;entrée;;;ANGOULEME;RUE MONTAIGNE;commune;commune;1;16015000CR0520;714c9f8d-0e07-4b1a-b470-b6bdfce06463;6d31a967-7152-43e2-b7ca-3dfe61ca0f37;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;CR;0520
16015_4140_00016;16015_4140;16;;Rue Ulysse Gayon;16000;16015;Angoulême;;;478737.32;6509684.67;0.158459;45.650873;entrée;;;ANGOULEME;RUE ULYSSE GAYON;commune;commune;1;16015000AP0855;71500378-4880-44df-a797-97924295e4b3;f6a35747-7b3a-40aa-8450-6da260e820b0;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;AP;0855
16015_3621_00006;16015_3621;6;;Impasse des Rossignols;16000;16015;Angoulême;;;479247.1;6507484.21;0.166014;45.631236;entrée;;;ANGOULEME;IMPASSE DES ROSSIGNOLS;commune;commune;1;16015000BT0258;7153951d-aa61-4e64-84ea-3f93bf128762;6ba83518-f643-4ce7-b0a1-33e684bb7491;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;BT;0258
16015_0710_00049;16015_0710;49;;Boulevard de Bretagne;16000;16015;Angoulême;;;477732.35;6511018.31;0.144945;45.662548;entrée;;;ANGOULEME;BOULEVARD DE BRETAGNE;commune;commune;1;16015000AC0258;71561e2a-19df-4d9b-977d-9b44fe6c0f6c;18679a1c-11c3-4369-ad0f-379f4d45924c;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;AC;0258
16015_0710_00059;16015_0710;59;;Boulevard de Bretagne;16000;16015;Angoulême;;;477833.37;6511144.34;0.146183;45.663715;entrée;;;ANGOULEME;BOULEVARD DE BRETAGNE;commune;commune;1;16015000AC0046;7157182c-5876-4d8f-80bb-a52b2b49e731;18679a1c-11c3-4369-ad0f-379f4d45924c;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;AC;0046
16015_2770_00112;16015_2770;112;;Rue de Montbron;16000;16015;Angoulême;;;480362.48;6509571.48;0.179364;45.650379;entrée;;;ANGOULEME;RUE DE MONTBRON;commune;commune;1;16015000BE0427;715aa39b-453e-496d-87be-71f8217c018e;fd9e08bc-8e17-4920-bdc3-a5223a51677a;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;BE;0427
16015_3680_00006_bis;16015_3680;6;bis;Rue de Saint Cybard;16000;16015;Angoulême;;;478017.72;6510255.68;0.148961;45.655778;entrée;;;ANGOULEME;RUE DE SAINT CYBARD;commune;commune;1;16015000AE0744;715ac4fc-a330-46a0-ac0c-fbab9ec60c00;78ab7857-47f2-46bb-9119-e418fb5b9b86;d048e26b-4b68-4088-acbe-731a6fe5bbcb;within;0.0;1.0;000;AE;0744
16015_2682_00018;16015_2682;18;;Rue des Meules a Grains;16000;16015;Angoulême;;;477275.57;6507302.95;0.14081;45.628965;entrée;;;ANGOULEME;RUE DES MEULES A GRAINS;commune;commune;1;16015000CN0337;7161ea62-6d2a-4a8f-9405-0442e4b6bac3;b076cfcf-f8e2-4435-ac4c-9c705e69f0cf;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;CN;0337
16015_0210_00019;16015_0210;19;;Rue d’Arcole;16000;16015;Angoulême;;;478420.95;6509420.03;0.154522;45.648389;entrée;;;ANGOULEME;RUE D ARCOLE;commune;commune;1;16015000AK0292;7166590a-b6f5-4dca-b96c-3bbfd7abe670;d26dad1e-e151-4caa-85db-58e1ebe5db6b;d048e26b-4b68-4088-acbe-731a6fe5bbcb;nearest;0.77;0.9;000;AK;0292
16015_0283_00003;16015_0283;3;;Boulevard de l’Artillerie;16000;16015;Angoulême;;;479947.14;6510478.21;0.173618;45.658405;segment;;;ANGOULEME;BOULEVARD DE L ARTILLERIE;commune;commune;1;16015000AY0593;71686ef7-7155-42be-8d16-f0773c57c2fa;66a23287-8d77-47ea-90d3-277078c9500c;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;AY;0593
16015_0864_00008;16015_0864;8;;Allée du Champ Brun;16000;16015;Angoulême;;;478136.71;6507402.61;0.151809;45.630142;segment;;;ANGOULEME;ALLEE DU CHAMP BRUN;commune;commune;1;16015000CL0347;716a79c2-2165-4a31-9363-db807fab73eb;0be7a435-7447-4b49-8ab3-174d3e284c6a;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;CL;0347
16015_1548_00008;16015_1548;8;;Rue Fernand Fauconnet;16000;16015;Angoulême;;;478520.89;6510597.01;0.15526;45.659013;entrée;;;ANGOULEME;RUE FERNAND FAUCONNET;commune;commune;1;16015000AS0013;7173b094-c4ae-4b16-b453-c39199680209;f6f98319-b60f-4ce7-863e-44c49e09b683;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;AS;0013
16015_2245_00142;16015_2245;142;;Avenue Jules Ferry;16000;16015;Angoulême;;;477920.32;6509395.43;0.14811;45.648005;entrée;;;ANGOULEME;AVENUE JULES FERRY;commune;commune;1;16015000CD0090;7173ddc3-bd6d-473b-966a-a7711ed88190;8386d985-31e2-471b-a33b-08c454413790;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;CD;0090
16015_3780_00175;16015_3780;175;;Rue Saint Roch;16000;16015;Angoulême;;;479758.53;6509494.53;0.17165;45.649492;entrée;;;ANGOULEME;RUE SAINT ROCH;commune;commune;1;16015000AW0963;7175a000-edcd-4398-b563-2545644c8cc6;bd6d8ca1-f15e-4f7a-9b9d-9b6a82b2fe9a;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;AW;0963
16015_3010_00177;16015_3010;177;;Rue de Paris;16000;16015;Angoulême;;;478830.41;6509919.57;0.159545;45.653017;entrée;;;ANGOULEME;RUE DE PARIS;commune;commune;1;16015000AP0583;7176bf87-fe1b-4100-908c-0e01b64fee61;c38d52a5-77ac-4318-8ed4-2b10ebd80ac1;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;AP;0583
16015_2410_00019;16015_2410;19;;Rue Leonide Lacroix;16000;16015;Angoulême;;;477822.38;6510723.91;0.146237;45.659928;entrée;;;ANGOULEME;RUE LEONIDE LACROIX;commune;commune;1;16015000AB0107;7177a33e-2039-4f60-8af3-cd930e95e3c1;d5954290-dfcf-40ef-b312-def1f113acd5;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;AB;0107
16015_3380_00031;16015_3380;31;;Rue du Port Thureau;16000;16015;Angoulême;;;477043.68;6510042.47;0.136561;45.653542;entrée;;;ANGOULEME;RUE DU PORT THUREAU;commune;commune;1;16015000CT0650;718bb6b8-35f7-4795-a381-6c16ab7b8d62;aa11d5f1-ae54-4801-a582-b290c9580daa;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;CT;0650
16015_1365_00013;16015_1365;13;;Rue de la Cite Dumas;16000;16015;Angoulême;;;480416.04;6509277.54;0.180186;45.647751;entrée;;;ANGOULEME;RUE DE LA CITE DUMAS;commune;commune;1;16015000BH0365;7198faac-6c12-4fce-8f0a-6eac9eaeccb6;9edd7d79-2d2a-45be-9abf-195f101919e6;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;BH;0365
16015_0170_00007;16015_0170;7;;Rue Arago;16000;16015;Angoulême;;;477348.36;6509224.1;0.140851;45.646277;entrée;;;ANGOULEME;RUE ARAGO;commune;commune;1;16015000CR0085;71a0067b-b29e-4535-a2cf-7777557d75bc;63b80a99-f8a6-45e8-ba4b-5d1b60ce05cc;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;CR;0085
16015_2555_00006;16015_2555;6;;Rue Madeleine Augeraud;16000;16015;Angoulême;;;477576.95;6510952.92;0.142981;45.661909;entrée;;;ANGOULEME;RUE MADELEINE AUGERAUD;commune;commune;1;16015000AB0009;71a1f0e5-d8ad-4398-b05e-f0ec7f5f2f7b;b2d5c453-890b-4d7c-9515-de818b427768;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;AB;0009
16015_3680_00010_bis;16015_3680;10;bis;Rue de Saint Cybard;16000;16015;Angoulême;;;478009.46;6510255.65;0.148855;45.655775;entrée;;;ANGOULEME;RUE DE SAINT CYBARD;commune;commune;1;16015000AE0744;71ad6871-e38e-402a-8a21-81765a5602ba;78ab7857-47f2-46bb-9119-e418fb5b9b86;d048e26b-4b68-4088-acbe-731a6fe5bbcb;within;0.0;1.0;000;AE;0744
16015_3619_00007;16015_3619;7;;Rue Romain Gary;16000;16015;Angoulême;;;476236.66;6510127.25;0.126166;45.654041;entrée;;;ANGOULEME;RUE ROMAIN GARY;commune;commune;1;16015000DO0310;71b2dd44-cd03-472a-b674-e4154ff139b1;37cedf5e-d0b8-4627-a520-629dc0598791;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;DO;0310
16015_1850_00082_bis;16015_1850;82;bis;Rue du Gond;16000;16015;Angoulême;;;479029.77;6510392.23;0.161885;45.657335;entrée;;;ANGOULEME;RUE DU GOND;commune;commune;1;16015000AT0322;71b4260a-9211-4ba7-a393-e481cc2359fe;046b3682-aef1-4ee3-985c-29644b4c14fa;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;AT;0322
16015_3090_00394_bis;16015_3090;394;bis;Rue de Perigueux;16000;16015;Angoulême;;;480348.79;6508966.02;0.179466;45.644926;entrée;;;ANGOULEME;RUE DE PERIGUEUX;commune;commune;1;16015000BH0721;71b9ac58-3007-4e2e-974a-7869b314430f;f84cb4cc-8554-4550-b6b4-852413666f10;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;BH;0721
16015_3090_00075;16015_3090;75;;Rue de Perigueux;16000;16015;Angoulême;;;479266.42;6509370.17;0.165393;45.648214;segment;;;ANGOULEME;RUE DE PERIGUEUX;commune;commune;1;16015000BK1226;71ba2a7f-9bc1-407f-bc28-abe5743e7d96;f84cb4cc-8554-4550-b6b4-852413666f10;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;BK;1226
16015_0660_00401;16015_0660;401;;Rue de Bordeaux;16000;16015|16015|16015|16015|16015|16015;Angoulême;;;477008.85;6508927.82;0.136633;45.6435;entrée;;;ANGOULEME;RUE DE BORDEAUX;commune;commune;1;16015000CR0776|16015000CR0775|16015000CR0778|16015000CR0774|16015000CR0777|16015000CR0772;71bd833a-66e8-4b02-850c-638c46c4e7bb;0f56084e-b317-4684-b440-5fe553371b95;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000|000|000|000|000|000;CR|CR|CR|CR|CR|CR;0776|0775|0778|0774|0777|0772
16015_2370_00017;16015_2370;17;;Rue Leclerc Chauvin;16000;16015;Angoulême;;;479079.83;6510234.85;0.1626;45.655935;entrée;;;ANGOULEME;RUE LECLERC CHAUVIN;commune;commune;1;16015000AT0436;71c42edf-35d2-48ef-8b16-4ceead57728b;a9133c3c-615f-4a40-a823-f0f2975d76ba;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;AT;0436
16015_0130_00013;16015_0130;13;;Rue Andre Thevet;16000;16015;Angoulême;;;478440.21;6509152.2;0.154893;45.645985;entrée;;;ANGOULEME;RUE ANDRE THEVET;commune;commune;1;16015000CD0380;71cd2826-b33b-4860-9ada-6b16634ac550;fc171bfe-66f1-4a73-95cb-5dfc52a08fa5;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;CD;0380
16015_3670_00037;16015_3670;37;;Rue Saint Ausone;16000;16015;Angoulême;;;477862.68;6509499.75;0.147322;45.648925;entrée;;;ANGOULEME;RUE SAINT AUSONE;commune;commune;1;16015000CD0078;71d28070-6f7c-4a80-981c-139f62536b9f;290b820e-a166-4345-93a3-a86797fe8e06;d048e26b-4b68-4088-acbe-731a6fe5bbcb;exist;;;000;CD;0078
