id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status;distance_m;confiance;cad_prefixe;cad_section;cad_numero
86032_0yj4r8_00029;;29;;Lotissement du Soubis;86210;86032;Bonneuil-Matours;;;514157.28;6622153.94;0.568565;46.673716;entrée;;;BONNEUIL MATOURS;LOTISSEMENT DU SOUBIS;commune;commune;1;86032000AP0655;92d6b0e1-7c3a-4ca4-b2c2-a01a0dfe29ec;93c51dcc-22f9-4b2d-a218-f409809c79de;5303e15e-6ed8-4545-95e2-9e82159fbd3d;within;0.0;1.0;000;AP;0655
86032_0073_00001;86032_0073;1;;Allée du Stade;86210;86032;Bonneuil-Matours;;;514531.18;6622337.21;0.57338;46.675469;entrée;;;BONNEUIL MATOURS;ALLEE DU STADE;commune;commune;1;86032000AP0732;92fd7aab-1925-4e86-8936-1a1e2c51220e;e254b4b9-1e93-462d-bef4-b5168741e20a;5303e15e-6ed8-4545-95e2-9e82159fbd3d;within;0.0;1.0;000;AP;0732
86032_0009_00110;86032_0009;110;;Rue d'Aquitaine;86210;86032;Bonneuil-Matours;;;514372.62;6621533.86;0.57163;46.668195;entrée;;;BONNEUIL MATOURS;RUE D AQUITAINE;commune;commune;1;86032000AR0280;932e33b3-5990-4372-8df6-4b48021b13b9;218d5e42-a7b7-48d8-9093-95ee1e8dad65;5303e15e-6ed8-4545-95e2-9e82159fbd3d;nearest;1.27;0.9;000;AR;0280
86032_0026_00002_bis;86032_0026;2;bis;Rue des Entrepreneurs;86210;86032;Bonneuil-Matours;;;513902.45;6623420.8;0.564722;46.685047;entrée;;;BONNEUIL MATOURS;RUE DES ENTREPRENEURS;commune;commune;1;86032000AN0701;934ce5f4-7766-4f53-a36b-344b90539d67;f055cdab-70d3-4b5d-810e-5339e9ecaa6c;5303e15e-6ed8-4545-95e2-9e82159fbd3d;within;0.0;1.0;000;AN;0701
86032_8adb2b_00010;;10;;Boierie;86210;86032;Bonneuil-Matours;;;511720.47;6622837.83;0.536425;46.679191;entrée;;Lieu Dit Boierie;BONNEUIL MATOURS;BOIERIE;commune;commune;1;86032000AK0030;934f14cf-705a-4dcc-b9c3-6d5c17fd9806;c9a3f15f-fdcc-45ec-8bde-f11c06bc0c8e;5303e15e-6ed8-4545-95e2-9e82159fbd3d;nearest;4.3;0.9;000;AK;0030
86032_0019_00008;86032_0019;8;;Place du Commerce;86210;86032;Bonneuil-Matours;;;514324.16;6623030.81;0.570394;46.681654;bâtiment;;;BONNEUIL MATOURS;PLACE DU COMMERCE;commune;commune;1;86032000AO0204;93a84330-358f-4fec-bbb9-6aea7a3db989;ba1029ab-66d2-4103-b4f4-2db0a56a2c66;5303e15e-6ed8-4545-95e2-9e82159fbd3d;nearest;1.08;0.9;000;AO;0204
86032_0046_00043;86032_0046;43;;Rue du 11 Novembre;86210;86032;Bonneuil-Matours;;;514210.32;6623366.87;0.56877;46.684647;entrée;;;BONNEUIL MATOURS;RUE DU 11 NOVEMBRE;commune;commune;1;86032000AN0125;93e6097d-123b-461e-8e36-25ec7026613a;7b4b9de7-4dd2-4c0d-b2f7-96cda8d9557c;5303e15e-6ed8-4545-95e2-9e82159fbd3d;within;0.0;1.0;000;AN;0125
86032_0046_00027;86032_0046;27;;Rue du 11 Novembre;86210;86032;Bonneuil-Matours;;;514272.02;6623249.97;0.569624;46.683612;entrée;;;BONNEUIL MATOURS;RUE DU 11 NOVEMBRE;commune;commune;1;86032000AO0507;94063e99-1154-4e82-8982-17f1b8334ef8;7b4b9de7-4dd2-4c0d-b2f7-96cda8d9557c;5303e15e-6ed8-4545-95e2-9e82159fbd3d;within;0.0;1.0;000;AO;0507
86032_a001_00051;86032_A001;51;;Cite d’Anjou;86210;86032;Bonneuil-Matours;;;513653.91;6623271.7;0.561532;46.683636;segment;;;BONNEUIL MATOURS;CITE D ANJOU;commune;commune;1;86032000AN0794;941ca8e8-590b-4a5b-85fe-b50232e293e3;6042afbc-8a9c-431e-b96d-74af50936789;5303e15e-6ed8-4545-95e2-9e82159fbd3d;within;0.0;1.0;000;AN;0794
86032_0025_00011;86032_0025;11;;Chemin de la Croix Bagot;86210;86032;Bonneuil-Matours;;;514118.45;6623221.92;0.567627;46.683317;entrée;;;BONNEUIL MATOURS;CHEMIN DE LA CROIX BAGOT;commune;commune;1;86032000AN0616;946f0325-7e9c-4245-8f69-cf9bad274f1b;a3268158-9aa9-480e-b0a0-e6958d65abc3;5303e15e-6ed8-4545-95e2-9e82159fbd3d;nearest;2.52;0.9;000;AN;0616
